지역번호,지역명,일시,평균습도(%rh),최저습도(%rh)
0,전국,22-Dec,62,6
0,전국,22-Nov,68,2
0,전국,22-Oct,73,9
0,전국,22-Sep,77,13
0,전국,22-Aug,83,23
0,전국,22-Jul,81,23
0,전국,22-Jun,76,2
0,전국,22-May,57,1
0,전국,22-Apr,60,1
0,전국,22-Mar,65,1
0,전국,22-Feb,52,1
0,전국,22-Jan,57,1
0,전국,21-Dec,64,2
0,전국,21-Nov,71,6
0,전국,21-Oct,77,10
0,전국,21-Sep,80,9
0,전국,21-Aug,83,25
0,전국,21-Jul,80,22
0,전국,21-Jun,77,13
0,전국,21-May,71,2
0,전국,21-Apr,59,1
0,전국,21-Mar,68,3
0,전국,21-Feb,58,2
0,전국,21-Jan,63,4
0,전국,20-Dec,60,3
0,전국,20-Nov,65,6
0,전국,20-Oct,69,8
0,전국,20-Sep,80,22
0,전국,20-Aug,85,17
0,전국,20-Jul,86,25
0,전국,20-Jun,75,14
0,전국,20-May,72,8
0,전국,20-Apr,55,2
0,전국,20-Mar,60,1
0,전국,20-Feb,67,5
0,전국,20-Jan,68,9
0,전국,19-Dec,66,6
0,전국,19-Nov,69,7
0,전국,19-Oct,75,15
0,전국,19-Sep,80,17
0,전국,19-Aug,78,22
0,전국,19-Jul,79,14
0,전국,19-Jun,73,12
0,전국,19-May,57,4
0,전국,19-Apr,61,2
0,전국,19-Mar,59,2
0,전국,19-Feb,57,1
0,전국,19-Jan,54,1
0,전국,18-Dec,58,3
0,전국,18-Nov,70,2
0,전국,18-Oct,71,11
0,전국,18-Sep,76,16
0,전국,18-Aug,75,20
0,전국,18-Jul,77,24
0,전국,18-Jun,70,13
0,전국,18-May,71,10
0,전국,18-Apr,63,1
0,전국,18-Mar,67,3
0,전국,18-Feb,50,1
0,전국,18-Jan,58,3
0,전국,17-Dec,58,2
0,전국,17-Nov,61,6
0,전국,17-Oct,74,10
0,전국,17-Sep,74,1
0,전국,17-Aug,80,12
0,전국,17-Jul,83,20
0,전국,17-Jun,66,8
0,전국,17-May,60,1
0,전국,17-Apr,59,0
0,전국,17-Mar,57,5
0,전국,17-Feb,56,3
0,전국,17-Jan,60,2
0,전국,16-Dec,66,5
0,전국,16-Nov,67,3
0,전국,16-Oct,77,8
0,전국,16-Sep,81,17
0,전국,16-Aug,74,18
0,전국,16-Jul,82,25
0,전국,16-Jun,75,4
0,전국,16-May,64,5
0,전국,16-Apr,65,5
0,전국,16-Mar,60,1
0,전국,16-Feb,58,5
0,전국,16-Jan,61,1
0,전국,15-Dec,69,1
0,전국,15-Nov,80,8
0,전국,15-Oct,70,6
0,전국,15-Sep,74,10
0,전국,15-Aug,79,21
0,전국,15-Jul,79,9
0,전국,15-Jun,71,9
0,전국,15-May,59,3
0,전국,15-Apr,66,3
0,전국,15-Mar,52,2
0,전국,15-Feb,61,7
0,전국,15-Jan,64,6
0,전국,14-Dec,61,9
0,전국,14-Nov,70,10
0,전국,14-Oct,72,6
0,전국,14-Sep,77,2
0,전국,14-Aug,83,25
0,전국,14-Jul,78,16
0,전국,14-Jun,74,14
0,전국,14-May,60,9
0,전국,14-Apr,59,1
0,전국,14-Mar,61,6
0,전국,14-Feb,63,5
0,전국,14-Jan,57,4
0,전국,13-Dec,65,11
0,전국,13-Nov,66,10
0,전국,13-Oct,71,11
0,전국,13-Sep,76,6
0,전국,13-Aug,77,17
0,전국,13-Jul,80,24
0,전국,13-Jun,75,15
0,전국,13-May,66,7
0,전국,13-Apr,59,3
0,전국,13-Mar,57,1
0,전국,13-Feb,57,4
0,전국,13-Jan,64,8
0,전국,12-Dec,65,4
0,전국,12-Nov,63,2
0,전국,12-Oct,69,3
0,전국,12-Sep,78,20
0,전국,12-Aug,78,24
0,전국,12-Jul,80,24
0,전국,12-Jun,70,17
0,전국,12-May,62,4
0,전국,12-Apr,59,1
0,전국,12-Mar,60,1
0,전국,12-Feb,53,5
0,전국,12-Jan,57,3
0,전국,11-Dec,58,5
0,전국,11-Nov,69,8
0,전국,11-Oct,68,5
0,전국,11-Sep,72,11
0,전국,11-Aug,81,25
0,전국,11-Jul,82,23
0,전국,11-Jun,72,11
0,전국,11-May,66,7
0,전국,11-Apr,58,4
0,전국,11-Mar,51,6
0,전국,11-Feb,63,2
0,전국,11-Jan,54,4
0,전국,10-Dec,61,7
0,전국,10-Nov,59,1
0,전국,10-Oct,71,1
0,전국,10-Sep,77,14
0,전국,10-Aug,81,17
0,전국,10-Jul,79,16
0,전국,10-Jun,69,9
0,전국,10-May,65,9
0,전국,10-Apr,59,6
0,전국,10-Mar,65,10
0,전국,10-Feb,65,6
0,전국,10-Jan,62,6
0,전국,09-Dec,61,8
0,전국,09-Nov,66,8
0,전국,09-Oct,66,7
0,전국,09-Sep,73,15
0,전국,09-Aug,76,17
0,전국,09-Jul,80,25
0,전국,09-Jun,69,7
0,전국,09-May,62,5
0,전국,09-Apr,57,6
0,전국,09-Mar,57,5
0,전국,09-Feb,63,4
0,전국,09-Jan,59,4
0,전국,08-Dec,62,7
0,전국,08-Nov,66,8
0,전국,08-Oct,70,7
0,전국,08-Sep,75,13
0,전국,08-Aug,77,21
0,전국,08-Jul,79,25
0,전국,08-Jun,74,9
0,전국,08-May,64,5
0,전국,08-Apr,61,8
0,전국,08-Mar,63,4
0,전국,08-Feb,51,7
0,전국,08-Jan,63,9
0,전국,07-Dec,67,11
0,전국,07-Nov,63,6
0,전국,07-Oct,72,8
0,전국,07-Sep,81,20
0,전국,07-Aug,80,23
0,전국,07-Jul,80,21
0,전국,07-Jun,71,6
0,전국,07-May,65,8
0,전국,07-Apr,57,7
0,전국,07-Mar,63,7
0,전국,07-Feb,62,5
0,전국,07-Jan,62,5
0,전국,06-Dec,66,8
0,전국,06-Nov,65,8
0,전국,06-Oct,72,10
0,전국,06-Sep,72,15
0,전국,06-Aug,75,15
0,전국,06-Jul,84,28
0,전국,06-Jun,72,15
0,전국,06-May,68,8
0,전국,06-Apr,62,5
0,전국,06-Mar,53,4
0,전국,06-Feb,59,7
0,전국,06-Jan,62,7
0,전국,05-Dec,57,8
0,전국,05-Nov,61,6
0,전국,05-Oct,70,12
0,전국,05-Sep,77,18
0,전국,05-Aug,78,23
0,전국,05-Jul,79,24
0,전국,05-Jun,73,14
0,전국,05-May,62,6
0,전국,05-Apr,56,5
0,전국,05-Mar,57,6
0,전국,05-Feb,55,8
0,전국,05-Jan,56,6
0,전국,04-Dec,61,9
0,전국,04-Nov,68,8
0,전국,04-Oct,64,10
0,전국,04-Sep,75,17
0,전국,04-Aug,76,21
0,전국,04-Jul,79,8
0,전국,04-Jun,68,8
0,전국,04-May,68,7
0,전국,04-Apr,54,2
0,전국,04-Mar,53,5
0,전국,04-Feb,56,5
0,전국,04-Jan,60,8
0,전국,03-Dec,60,10
0,전국,03-Nov,69,10
0,전국,03-Oct,63,10
0,전국,03-Sep,76,19
0,전국,03-Aug,79,25
0,전국,03-Jul,80,27
0,전국,03-Jun,71,12
0,전국,03-May,67,9
0,전국,03-Apr,63,8
0,전국,03-Mar,63,10
0,전국,03-Feb,65,9
0,전국,03-Jan,62,7
0,전국,02-Dec,66,9
0,전국,02-Nov,59,7
0,전국,02-Oct,67,10
0,전국,02-Sep,73,21
0,전국,02-Aug,80,34
0,전국,02-Jul,76,13
0,전국,02-Jun,66,12
0,전국,02-May,67,9
0,전국,02-Apr,58,5
0,전국,02-Mar,56,6
0,전국,02-Feb,56,5
0,전국,02-Jan,64,10
0,전국,01-Dec,57,8
0,전국,01-Nov,62,5
0,전국,01-Oct,71,15
0,전국,01-Sep,67,14
0,전국,01-Aug,72,18
0,전국,01-Jul,76,22
0,전국,01-Jun,70,13
0,전국,01-May,61,7
0,전국,01-Apr,52,4
0,전국,01-Mar,54,6
0,전국,01-Feb,60,7
0,전국,01-Jan,61,6
0,전국,Dec-00,58,6
0,전국,Nov-00,64,7
0,전국,Oct-00,68,8
0,전국,Sep-00,74,18
0,전국,Aug-00,77,20
0,전국,Jul-00,75,17
0,전국,Jun-00,70,11
0,전국,May-00,64,9
0,전국,Apr-00,53,5
0,전국,Mar-00,52,7
0,전국,Feb-00,52,7
0,전국,Jan-00,64,10
0,전국,Dec-99,62,10
0,전국,Nov-99,66,12
0,전국,Oct-99,71,9
0,전국,Sep-99,78,17
0,전국,Aug-99,78,32
0,전국,Jul-99,77,24
0,전국,Jun-99,71,15
0,전국,May-99,64,9
0,전국,Apr-99,62,5
0,전국,Mar-99,58,3
0,전국,Feb-99,57,4
0,전국,Jan-99,57,9
0,전국,Dec-98,59,9
0,전국,Nov-98,63,11
0,전국,Oct-98,70,17
0,전국,Sep-98,74,18
0,전국,Aug-98,80,29
0,전국,Jul-98,78,15
0,전국,Jun-98,75,19
0,전국,May-98,66,10
0,전국,Apr-98,71,5
0,전국,Mar-98,58,5
0,전국,Feb-98,65,11
0,전국,Jan-98,65,10
0,전국,Dec-97,68,11
0,전국,Nov-97,71,8
0,전국,Oct-97,62,5
0,전국,Sep-97,70,17
0,전국,Aug-97,77,22
0,전국,Jul-97,79,15
0,전국,Jun-97,71,18
0,전국,May-97,68,8
0,전국,Apr-97,59,4
0,전국,Mar-97,60,5
0,전국,Feb-97,59,3
