일시,지점,강수량
Jan-92,전국,25.3
Feb-92,전국,27.8
Mar-92,전국,56
Apr-92,전국,107
May-92,전국,101.1
Jun-92,전국,42.2
Jul-92,전국,181
Aug-92,전국,259.2
Sep-92,전국,186.2
Oct-92,전국,35.7
Nov-92,전국,35.5
Dec-92,전국,51.3
Jan-93,전국,25.4
Feb-93,전국,68.8
Mar-93,전국,48.6
Apr-93,전국,49.4
May-93,전국,133.1
Jun-93,전국,194.9
Jul-93,전국,290.9
Aug-93,전국,383.6
Sep-93,전국,71.7
Oct-93,전국,41.2
Nov-93,전국,77
Dec-93,전국,21.7
Jan-94,전국,22.5
Feb-94,전국,19.2
Mar-94,전국,34.2
Apr-94,전국,47.6
May-94,전국,138
Jun-94,전국,112.8
Jul-94,전국,87.8
Aug-94,전국,218
Sep-94,전국,36.8
Oct-94,전국,150
Nov-94,전국,36.4
Dec-94,전국,15.2
Jan-95,전국,23.7
Feb-95,전국,17.8
Mar-95,전국,57.4
Apr-95,전국,72.8
May-95,전국,69.2
Jun-95,전국,70
Jul-95,전국,212.7
Aug-95,전국,438.4
Sep-95,전국,55.6
Oct-95,전국,30.7
Nov-95,전국,20.8
Dec-95,전국,5.8
Jan-96,전국,29.5
Feb-96,전국,11.4
Mar-96,전국,121.2
Apr-96,전국,56.9
May-96,전국,42.2
Jun-96,전국,302.8
Jul-96,전국,221.9
Aug-96,전국,116.2
Sep-96,전국,28.9
Oct-96,전국,63.6
Nov-96,전국,67.8
Dec-96,전국,25.7
Jan-97,전국,16.2
Feb-97,전국,30.6
Mar-97,전국,43.2
Apr-97,전국,69
May-97,전국,199
Jun-97,전국,193.1
Jul-97,전국,319
Aug-97,전국,229
Sep-97,전국,61.1
Oct-97,전국,12.1
Nov-97,전국,156.7
Dec-97,전국,55.4
Jan-98,전국,42.3
Feb-98,전국,46.8
Mar-98,전국,47.5
Apr-98,전국,153.4
May-98,전국,111.2
Jun-98,전국,274.9
Jul-98,전국,274
Aug-98,전국,474.5
Sep-98,전국,247.5
Oct-98,전국,66.9
Nov-98,전국,30.8
Dec-98,전국,6.3
Jan-99,전국,17.7
Feb-99,전국,18
Mar-99,전국,93.3
Apr-99,전국,96.5
May-99,전국,133.4
Jun-99,전국,168.9
Jul-99,전국,287.3
Aug-99,전국,360.9
Sep-99,전국,353.6
Oct-99,전국,117.1
