지역번호,지역명,일시,일조합(hr),일사합(MJ/m2)
0,전국,22-Dec,189.4,267.73
0,전국,22-Nov,195.2,307.62
0,전국,22-Oct,211.8,420.14
0,전국,22-Sep,180.9,468.07
0,전국,22-Aug,143.8,444.36
0,전국,22-Jul,182,558.33
0,전국,22-Jun,178.9,542.02
0,전국,22-May,304.4,754.45
0,전국,22-Apr,253.1,615.44
0,전국,22-Mar,190.3,438.18
0,전국,22-Feb,225.1,392.43
0,전국,22-Jan,216.3,320.4
0,전국,21-Dec,195.5,269.83
0,전국,21-Nov,191.7,291.62
0,전국,21-Oct,201.4,389.5
0,전국,21-Sep,158.6,415.15
0,전국,21-Aug,157.1,449.3
0,전국,21-Jul,228,613.43
0,전국,21-Jun,208.6,587.74
0,전국,21-May,212.5,572.51
0,전국,21-Apr,235.5,580.82
0,전국,21-Mar,215.5,474.67
0,전국,21-Feb,198.6,355.45
0,전국,21-Jan,191.2,286.82
0,전국,20-Dec,202.7,279.13
0,전국,20-Nov,185,292.99
0,전국,20-Oct,228.9,430.97
0,전국,20-Sep,172.3,427.78
0,전국,20-Aug,161.3,454.86
0,전국,20-Jul,116.3,429.16
0,전국,20-Jun,222.8,610.81
0,전국,20-May,222,613.61
0,전국,20-Apr,277,642.36
0,전국,20-Mar,247.9,529.72
0,전국,20-Feb,193.8,345.07
0,전국,20-Jan,157.1,254.55
0,전국,19-Dec,175.4,247.3
0,전국,19-Nov,186.9,294.58
0,전국,19-Oct,205.6,391.65
0,전국,19-Sep,148,388.24
0,전국,19-Aug,224.8,552.19
0,전국,19-Jul,169.7,497.13
0,전국,19-Jun,229,610.32
0,전국,19-May,298.2,720.71
0,전국,19-Apr,204,504.93
0,전국,19-Mar,224.3,469.93
0,전국,19-Feb,189.1,336.18
0,전국,19-Jan,219.5,306.34
0,전국,18-Dec,187,259.7
0,전국,18-Nov,184.8,284.29
0,전국,18-Oct,231.8,413.39
0,전국,18-Sep,174.8,429.85
0,전국,18-Aug,224.3,548.17
0,전국,18-Jul,251.4,612.42
0,전국,18-Jun,219.5,607.76
0,전국,18-May,208.5,554.67
0,전국,18-Apr,227.5,530.08
0,전국,18-Mar,206.3,426.81
0,전국,18-Feb,204.2,321.57
0,전국,18-Jan,198.2,257.69
0,전국,17-Dec,200.7,229.94
0,전국,17-Nov,206.4,253.45
0,전국,17-Oct,179.8,319.53
0,전국,17-Sep,220,440.88
0,전국,17-Aug,184.8,448.98
0,전국,17-Jul,145.8,422.39
0,전국,17-Jun,252,612.79
0,전국,17-May,281.6,637.54
0,전국,17-Apr,246.5,536.97
0,전국,17-Mar,227.3,456.75
0,전국,17-Feb,210.4,335.26
0,전국,17-Jan,202,268.71
0,전국,16-Dec,165.7,218.23
0,전국,16-Nov,170.6,248.89
0,전국,16-Oct,143.4,294.13
0,전국,16-Sep,141.9,351.33
0,전국,16-Aug,250,537.14
0,전국,16-Jul,178.3,471.87
0,전국,16-Jun,193.4,521.66
0,전국,16-May,269.4,618.85
0,전국,16-Apr,207.1,480.67
0,전국,16-Mar,223,443.29
0,전국,16-Feb,198.1,311.83
0,전국,16-Jan,180.6,246.44
0,전국,15-Dec,156.4,203.09
0,전국,15-Nov,96.2,172.31
0,전국,15-Oct,244.2,390.09
0,전국,15-Sep,222.2,454.63
0,전국,15-Aug,207.9,493.45
0,전국,15-Jul,174,466.47
0,전국,15-Jun,198,525.43
0,전국,15-May,284.8,638.56
0,전국,15-Apr,189.4,434.55
0,전국,15-Mar,263.7,484.74
0,전국,15-Feb,178.7,283.54
0,전국,15-Jan,183.8,238.94
0,전국,14-Dec,190.3,231.16
0,전국,14-Nov,177.7,254.31
0,전국,14-Oct,227.1,344.12
0,전국,14-Sep,201.1,420.01
0,전국,14-Aug,128,378.3
0,전국,14-Jul,181.5,492.16
0,전국,14-Jun,172.8,510.51
0,전국,14-May,291.4,677.44
0,전국,14-Apr,212.3,496.3
0,전국,14-Mar,212.3,418.6
0,전국,14-Feb,145,268.92
0,전국,14-Jan,202.1,259.41
0,전국,13-Dec,182.9,225.9
0,전국,13-Nov,194.3,259.71
0,전국,13-Oct,222.6,380.64
0,전국,13-Sep,189.1,407.25
0,전국,13-Aug,246.3,526.13
0,전국,13-Jul,150.9,417.39
0,전국,13-Jun,188.9,537.5
0,전국,13-May,239.8,576.18
0,전국,13-Apr,218.5,485.32
0,전국,13-Mar,240.9,471.2
0,전국,13-Feb,179.4,308.38
0,전국,13-Jan,180.5,252.06
0,전국,12-Dec,175.7,221.29
0,전국,12-Nov,177.9,254.46
0,전국,12-Oct,235.4,386.19
0,전국,12-Sep,180.6,408.24
0,전국,12-Aug,155.9,435.67
0,전국,12-Jul,164,487.26
0,전국,12-Jun,185.2,560.31
0,전국,12-May,232.5,621.57
0,전국,12-Apr,215.7,523.63
0,전국,12-Mar,179.8,414.87
0,전국,12-Feb,185.6,345.41
0,전국,12-Jan,176.9,270.33
0,전국,11-Dec,172.6,242.19
0,전국,11-Nov,128.4,226.39
0,전국,11-Oct,201.5,391.51
0,전국,11-Sep,180,453.39
0,전국,11-Aug,109.5,411.97
0,전국,11-Jul,114.2,428.27
0,전국,11-Jun,173.9,540.1
0,전국,11-May,177.1,543.59
0,전국,11-Apr,213.2,532.33
0,전국,11-Mar,248.3,530.79
0,전국,11-Feb,165.6,310.16
0,전국,11-Jan,214.6,317.86
0,전국,10-Dec,170.6,242.23
0,전국,10-Nov,202.5,306.96
0,전국,10-Oct,183,386.15
0,전국,10-Sep,159.3,418.03
0,전국,10-Aug,140.9,444.8
0,전국,10-Jul,131.3,486.88
0,전국,10-Jun,204,599.53
0,전국,10-May,205.7,588.17
0,전국,10-Apr,178.1,490.1
0,전국,10-Mar,125.3,350.78
0,전국,10-Feb,138.2,278.72
0,전국,10-Jan,179.5,270.53
0,전국,09-Dec,161.7,230.38
0,전국,09-Nov,136.6,237.67
0,전국,09-Oct,226.7,417.7
0,전국,09-Sep,185.7,469.39
0,전국,09-Aug,154.7,493.52
0,전국,09-Jul,118.1,459.2
0,전국,09-Jun,191.1,580.35
0,전국,09-May,242.3,627.9
0,전국,09-Apr,226.8,552.96
0,전국,09-Mar,196,460.94
0,전국,09-Feb,131.1,275.82
0,전국,09-Jan,184.5,283.44
0,전국,08-Dec,172,244.57
0,전국,08-Nov,160.4,268.72
0,전국,08-Oct,196.3,381.83
0,전국,08-Sep,168.2,441.58
0,전국,08-Aug,197.2,545.11
0,전국,08-Jul,136.9,483.11
0,전국,08-Jun,140.2,506.51
0,전국,08-May,215.9,610.96
0,전국,08-Apr,204.9,535.01
0,전국,08-Mar,193.2,444.49
0,전국,08-Feb,218.5,381.12
0,전국,08-Jan,151.4,249.47
0,전국,07-Dec,140.7,217.65
0,전국,07-Nov,191.5,299.46
0,전국,07-Oct,175.8,376.88
0,전국,07-Sep,95.2,315.93
0,전국,07-Aug,146.8,451.15
0,전국,07-Jul,112.3,439.41
0,전국,07-Jun,164,528.11
0,전국,07-May,223.1,605.84
0,전국,07-Apr,204.8,528.55
0,전국,07-Mar,167.4,394.88
0,전국,07-Feb,180.4,324.52
0,전국,07-Jan,167.1,264.15
0,전국,06-Dec,164.4,233.79
