일시,지역명,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
Jan-97,전국,-1.9,-7.2,4
Feb-97,전국,1,-5,7.8
Mar-97,전국,6.5,0.7,13.1
Apr-97,전국,12.1,5.9,18.7
May-97,전국,16.9,11.6,22.7
Jun-97,전국,21.7,16.6,27.7
Jul-97,전국,24.5,20.9,29.2
Aug-97,전국,25.1,21.2,30
Sep-97,전국,19.4,14.4,25.5
Oct-97,전국,13.2,6.7,20.4
Nov-97,전국,8.6,3.5,14.7
Dec-97,전국,2.1,-2.4,7.4
Jan-98,전국,-0.5,-5,4.4
Feb-98,전국,3.2,-1.8,9
Mar-98,전국,7.1,1.4,13.5
Apr-98,전국,14.7,9.8,20.5
May-98,전국,17.8,12.3,23.8
Jun-98,전국,20,16.2,24.4
Jul-98,전국,24,21,27.7
Aug-98,전국,24.7,21.5,28.9
Sep-98,전국,21.6,17.2,27.1
Oct-98,전국,16.1,11.2,22
Nov-98,전국,7.5,2,13.9
Dec-98,전국,2.5,-2.7,8.9
Jan-99,전국,0,-5.2,5.7
Feb-99,전국,1.4,-3.9,7
Mar-99,전국,6.2,0.5,12.3
Apr-99,전국,12.5,6.4,19.1
May-99,전국,16.8,10.8,23
Jun-99,전국,21.5,16.6,27
Jul-99,전국,23.7,20.3,27.8
Aug-99,전국,24.3,20.9,28.7
Sep-99,전국,22,18.4,26.7
Oct-99,전국,13.7,8.7,19.8
Nov-99,전국,7.5,2.4,13.7
Dec-99,전국,1,-4.1,6.7
Jan-00,전국,-0.5,-4.8,4.2
Feb-00,전국,-0.7,-6,4.9
Mar-00,전국,6,-0.3,12.7
Apr-00,전국,11.3,5,17.9
May-00,전국,16.8,11.1,23.2
Jun-00,전국,21.4,16.9,26.9
Jul-00,전국,25.4,21.6,30.3
Aug-00,전국,25.2,21.8,29.8
Sep-00,전국,19.3,15.5,24.3
Oct-00,전국,14.1,9,20.4
Nov-00,전국,6.7,1.7,12.9
Dec-00,전국,1.4,-3.9,7.5
01-Jan,전국,-2.3,-6.8,2.6
01-Feb,전국,0.8,-4.1,6.4
01-Mar,전국,5.3,-0.3,11.5
01-Apr,전국,12.5,5.4,19.8
01-May,전국,18.1,12.6,24.3
01-Jun,전국,21.6,17.5,26.6
01-Jul,전국,25.4,21.6,30.1
01-Aug,전국,25,20.9,30.4
01-Sep,전국,20.4,15.3,26.6
01-Oct,전국,15.2,10.6,21.2
01-Nov,전국,6.5,1.1,13.2
01-Dec,전국,0.3,-4.3,5.7
02-Jan,전국,1,-3.3,5.8
02-Feb,전국,2.2,-3.4,8.6
02-Mar,전국,7.7,1.6,14.2
02-Apr,전국,13.2,7,19.5
02-May,전국,16.7,11.5,22.5
02-Jun,전국,20.9,15.6,26.8
02-Jul,전국,24.3,20.9,28.5
02-Aug,전국,23.6,20.9,27.4
02-Sep,전국,19.8,15.4,25.5
02-Oct,전국,12.5,7.3,18.8
02-Nov,전국,4.5,-0.8,10.2
02-Dec,전국,1.9,-2.4,6.9
03-Jan,전국,-2.2,-6.9,3.1
03-Feb,전국,2.1,-2.5,7.4
03-Mar,전국,5.8,0.7,11.3
03-Apr,전국,12.3,7,18.2
03-May,전국,17.3,11.8,23.4
03-Jun,전국,20.7,16.6,25.6
03-Jul,전국,22.3,19.3,26.1
03-Aug,전국,23.6,20.4,27.8
03-Sep,전국,20.7,16.8,25.7
03-Oct,전국,13.2,7.5,20
03-Nov,전국,9.5,4.8,14.9
03-Dec,전국,1.7,-3,6.9
04-Jan,전국,-1.2,-6,4.5
04-Feb,전국,2.7,-3,8.9
04-Mar,전국,6.2,0.1,12.7
04-Apr,전국,12.7,5.9,19.7
04-May,전국,17.2,12.2,22.6
04-Jun,전국,21.6,16.7,27.2
04-Jul,전국,25,21.7,29.3
04-Aug,전국,24.8,21.2,29.7
04-Sep,전국,20.6,16.5,25.9
04-Oct,전국,14,8,21
04-Nov,전국,8.7,3.4,15.2
04-Dec,전국,2.8,-2.1,8.6
05-Jan,전국,-1.4,-6.2,3.8
05-Feb,전국,-0.8,-5.5,4.2
05-Mar,전국,4.5,-1,10.6
05-Apr,전국,13,6.5,19.7
05-May,전국,16.8,10.7,23.5
05-Jun,전국,22.2,17.8,27.6
05-Jul,전국,24.7,21.4,29
05-Aug,전국,24.8,21.5,29.4
05-Sep,전국,21.5,17.8,26.2
05-Oct,전국,14,9,20.3
05-Nov,전국,8,2.3,14.5
05-Dec,전국,-2.6,-7.5,2.8
06-Jan,전국,0.3,-4.2,5.5
06-Feb,전국,0.9,-4,6.2
06-Mar,전국,5.7,-0.3,12
06-Apr,전국,11.1,5.8,16.8
06-May,전국,17.1,12,22.9
06-Jun,전국,21.1,16.6,26.6
06-Jul,전국,23,20.4,26.6
06-Aug,전국,26.3,22.5,31.5
06-Sep,전국,19.3,14.6,24.9
06-Oct,전국,16.5,11.2,23.4
06-Nov,전국,8.5,3.5,14.1
06-Dec,전국,1.7,-2.8,7.3
07-Jan,전국,0.6,-4,6.3
07-Feb,전국,3.8,-1.7,10.4
07-Mar,전국,6.6,1.5,12.4
07-Apr,전국,11.4,5.4,17.7
07-May,전국,17.5,12,23.7
07-Jun,전국,21.5,16.9,26.7
07-Jul,전국,23.5,20.4,27.6
07-Aug,전국,25.9,22.6,30.2
07-Sep,전국,21.1,18,25.2
07-Oct,전국,14.7,10,20.7
07-Nov,전국,6.7,1.3,13.3
07-Dec,전국,2.3,-1.8,7.3
08-Jan,전국,-0.5,-4.6,4.2
08-Feb,전국,-0.7,-6.2,5.4
08-Mar,전국,6.8,1.1,13.1
08-Apr,전국,12.8,6.6,19.4
08-May,전국,17.2,11.3,23.5
08-Jun,전국,20.3,16.1,25.2
08-Jul,전국,25.9,22.5,30.3
08-Aug,전국,24.5,20.5,29.4
08-Sep,전국,21.2,16.8,27
08-Oct,전국,15.5,10.2,22.2
08-Nov,전국,7.5,2.5,13.4
08-Dec,전국,1.8,-3.2,7.5
09-Jan,전국,-1.4,-6.5,4.5
09-Feb,전국,3.9,-1.2,9.4
09-Mar,전국,6.7,1,12.6
09-Apr,전국,12.3,5.9,19.3
09-May,전국,18.1,12,24.7
09-Jun,전국,21.7,16.9,27
09-Jul,전국,23.5,20.1,27.8
09-Aug,전국,24.3,20.5,28.9
09-Sep,전국,20.7,16.1,26.4
09-Oct,전국,15,9.3,22
09-Nov,전국,7.5,3.2,12.6
09-Dec,전국,0.6,-3.7,5.6
10-Jan,전국,-2.2,-7.3,3.3
10-Feb,전국,2,-2.4,7
10-Mar,전국,5.2,0.8,9.7
10-Apr,전국,9.6,4.2,15.3
10-May,전국,16.9,11.3,22.9
10-Jun,전국,22.2,17.1,28
10-Jul,전국,25.2,22,29.4
10-Aug,전국,26.6,23.6,30.9
10-Sep,전국,21.6,17.7,26.8
10-Oct,전국,14.2,9.2,20.4
10-Nov,전국,6.7,0.9,13.3
10-Dec,전국,0.5,-4.5,6
11-Jan,전국,-5.2,-10.5,0.2
11-Feb,전국,1.6,-3.7,7.7
11-Mar,전국,4.3,-1.2,10.3
11-Apr,전국,11,4.8,17.3
11-May,전국,17.1,11.9,22.7
11-Jun,전국,21.8,17.3,27
11-Jul,전국,24.9,21.9,28.8
