지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
0,전국, 2022-12,1.8,26.3,고산,32.4,고산
0,전국, 2022-11,1.4,19.6,흑산도,28.6,울릉도
0,전국, 2022-10,1.6,20.5,고산,26.8,대관령
0,전국, 2022-09,1.7,37.3,고산,43.4,울릉도
0,전국, 2022-08,1.6,17,고산,24.9,서울
0,전국, 2022-07,1.6,15,고산,20.9,흑산도
0,전국, 2022-06,2,18.5,고산,25.4,대관령
0,전국, 2022-05,1.9,13.3,울릉도,23.3,울릉도
0,전국, 2022-04,1.9,16.1,고산,30.7,울릉도
0,전국, 2022-03,1.9,21.3,흑산도,29.6,울릉도
0,전국, 2022-02,2.2,23.3,고산,27.6,고산
0,전국, 2022-01,1.7,23.5,고산,31.5,고산
0,전국, 2021-12,1.9,29,고산,34.9,고산
0,전국, 2021-11,1.6,27.2,고산,33,고산
0,전국, 2021-10,1.4,18.9,흑산도,27.4,울릉도
0,전국, 2021-09,1.6,20.2,고산,24.3,의령군
0,전국, 2021-08,1.5,26.1,고산,34.8,울릉도
0,전국, 2021-07,1.5,18.7,흑산도,24.6,부산
0,전국, 2021-06,1.6,19.1,흑산도,27.1,흑산도
0,전국, 2021-05,1.9,17.8,흑산도,24.8,고산
0,전국, 2021-04,2.1,24.8,고산,29.4,고산
0,전국, 2021-03,1.9,24,고산,27.2,고산
0,전국, 2021-02,2.2,25.8,고산,32.1,고산
0,전국, 2021-01,1.9,25.9,고산,32.1,고산
0,전국, 2020-12,1.8,27.5,고산,32.5,고산
0,전국, 2020-11,1.7,19.7,흑산도,26.6,흑산도
0,전국, 2020-10,1.5,19.4,고산,23.5,고산
0,전국, 2020-09,1.8,45,고산,49.2,고산
0,전국, 2020-08,1.8,36.4,흑산도,47.4,흑산도
0,전국, 2020-07,1.5,19.7,울릉도,30.7,울릉도
0,전국, 2020-06,1.7,22.1,고산,27.2,제주
0,전국, 2020-05,1.9,19.8,백령도,27,백령도
0,전국, 2020-04,2.3,18.4,고산,25.5,울릉도
0,전국, 2020-03,2.1,22.4,고산,27.9,추풍령
0,전국, 2020-02,1.8,26.8,고산,32.5,고산
0,전국, 2020-01,1.7,26.6,고산,32,울릉도
0,전국, 2019-12,1.7,22.7,고산,28.4,고산
0,전국, 2019-11,1.6,22.2,고산,26,고산
0,전국, 2019-10,1.6,22.4,고산,26.7,고산
0,전국, 2019-09,1.6,42.1,흑산도,54.4,흑산도
0,전국, 2019-08,1.6,19.7,흑산도,27.1,흑산도
0,전국, 2019-07,1.8,16.1,흑산도,24.7,진도(첨찰산)
0,전국, 2019-06,1.6,15.9,울릉도,25.8,울릉도
0,전국, 2019-05,2,22,흑산도,30.3,여수
0,전국, 2019-04,1.9,19.9,흑산도,25.1,여수
0,전국, 2019-03,2.2,21.5,흑산도,28.2,흑산도
0,전국, 2019-02,1.9,18.1,흑산도,23.6,백령도
0,전국, 2019-01,2,19,고산,27.2,고산
0,전국, 2018-12,1.9,17,흑산도,26.2,고산
0,전국, 2018-11,1.3,20.1,고산,25.3,고산
0,전국, 2018-10,1.7,27.1,고산,36.6,울릉도
