시점,월별,소계,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,소계,디프테리아,백일해,파상풍,홍역,유행성이하선염,풍진,폴리오,B형간염(급성),B형간염(산모),B형간염(주산기),일본뇌염,수두,b형헤모필루스인플루엔자,폐렴구균,소계,말라리아,성홍열,수막구균성수막염,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,탄저,공수병,신증후군출혈열,매독(1기),매독(2기),매독(선천성),크로이츠펠트-야콥병(CJD),결핵,한센병,후천성면역결핍증,C형간염,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,소계,페스트,황열,뎅기열,바이러스성출혈열,두창,보툴리눔독소증,중증급성호흡기증후군(SARS),동물인플루엔자 인체감염증,신종인플루엔자,야토병,큐열,웨스트나일열,신종감염병증후군,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군,중동호흡기증후군,지카바이러스감염증,리슈마니아증,바베시아증,크립토스포리디움증,주혈흡충증
2001,계,"1,537",162,401,36,927,11,-,"24,874",0,9,8,"23,060","1,668",128,0,-,-,-,1,-,-,-,"40,298","2,556",49,11,2,41,0,16,"2,637",133,0,0,1,323,-,-,-,-,"34,123",79,327,-,-,-,6,0,0,6,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,1월,28,0,22,0,6,0,-,"7,596",0,0,0,"7,437",151,8,0,-,-,-,0,-,-,-,-,14,3,0,1,0,0,1,5,1,0,0,0,20,-,-,-,-,"2,438",2,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,2월,78,0,19,3,56,0,-,"2,502",0,1,0,"2,432",60,9,0,-,-,-,0,-,-,-,-,19,0,3,0,0,0,1,1,0,0,0,0,8,-,-,-,-,"2,782",4,-,-,-,-,1,0,0,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,3월,97,0,29,2,66,0,-,"3,157",0,2,0,"3,003",136,16,0,-,-,-,0,-,-,-,-,34,3,0,0,0,0,0,1,0,0,0,0,8,-,-,-,-,"3,089",13,-,-,-,-,1,0,0,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,4월,147,0,118,2,25,2,-,"4,937",0,0,1,"4,708",202,26,0,-,-,-,0,-,-,-,-,45,6,2,0,0,0,0,1,1,0,0,0,4,-,-,-,-,"3,110",6,-,-,-,-,1,0,0,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,5월,54,0,43,5,3,3,-,"4,265",0,1,0,"3,901",329,34,0,-,-,-,0,-,-,-,-,176,4,0,0,0,0,0,1,4,0,0,0,5,-,-,-,-,"3,331",6,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,6월,43,0,29,3,9,2,-,"1,575",0,0,2,"1,298",257,18,0,-,-,-,0,-,-,-,-,369,7,0,0,4,0,1,0,0,0,0,0,10,-,-,-,-,"2,962",3,-,-,-,-,1,0,0,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,7월,42,0,33,6,3,0,-,358,0,0,0,212,144,2,0,-,-,-,0,-,-,-,-,681,4,1,0,4,0,0,4,0,0,0,0,4,-,-,-,-,"3,272",11,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,8월,32,1,20,5,4,2,-,112,0,3,2,32,72,2,0,-,-,-,1,-,-,-,-,624,2,3,0,19,0,3,4,2,0,0,0,3,-,-,-,-,"2,982",11,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,9월,203,158,26,5,12,2,-,99,0,1,0,6,91,1,0,-,-,-,0,-,-,-,-,378,3,1,0,13,0,0,7,16,0,0,0,21,-,-,-,-,"2,798",4,-,-,-,-,1,0,0,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2001,10월,32,2,13,1,16,0,-,112,0,0,0,9,99,4,0,-,-,-,0,-,-,-,-,173,5,1,1,0,0,4,"1,007",27,0,0,0,71,-,-,-,-,"2,535",6,-,-,-,-,1,0,0,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
